city,total_customers,total_revenue,avg_spending
santa cruz cabralia,5,605.18,121.03599999999999
santa cruz da conceicao,3,772.3800000000001,257.46000000000004
santa cruz das palmeiras,9,736.51,81.83444444444444
santa cruz de goias,2,779.6899999999999,389.84499999999997
santa cruz de minas,4,930.48,232.62
santa cruz de monte castelo,4,793.05,198.2625
santa cruz de salinas,2,261.72,130.86
santa cruz do capibaribe,11,2777.5200000000004,252.5018181818182
santa cruz do piaui,1,158.38,158.38
santa cruz do prata,2,158.72,79.36
santa cruz do rio pardo,33,3229.73,97.87060606060606
santa cruz do sul,60,12388.31,206.47183333333334
santa cruz do timbo,1,49.31,49.31
santa ernestina,2,280.13,140.065
santa fe,5,1005.44,201.08800000000002
santa fe de goias,3,2264.84,754.9466666666667
santa fe de minas,1,178.27,178.27
santa fe do sul,32,5064.07,158.2521875
santa filomena,1,186.4,186.4
santa gertrudes,11,1471.05,133.73181818181817
santa helena,12,1695.89,141.32416666666668
santa helena de goias,9,1733.6799999999998,192.6311111111111
santa helena de minas,2,303.63,151.815
santa ines,15,2308.68,153.91199999999998
santa isabel,26,3480.98,133.88384615384615
santa isabel do ivai,3,478.6,159.53333333333333
santa isabel do para,6,919.57,153.26166666666668
santa isabel do rio preto,1,761.8199999999999,761.8199999999999
santa izabel do oeste,2,356.35,178.175
santa juliana,8,1880.37,235.04625
santa leopoldina,1,107.78,107.78
santa lucia,4,522.75,130.6875
santa luzia,95,14244.97,149.94705263157894
santa luzia do norte,1,44.95,44.95
santa luzia do parua,1,115.78,115.78
santa margarida,3,468.48,156.16
santa maria,190,38296.74,201.5617894736842
santa maria da boa vista,2,488.56999999999994,244.28499999999997
santa maria da serra,2,169.42000000000002,84.71000000000001
santa maria da vitoria,13,2185.07,168.0823076923077
santa maria de itabira,4,570.49,142.6225
santa maria de jetiba,14,2543.48,181.67714285714285
santa maria do herval,1,115.44,115.44
santa maria do para,2,164.89,82.445
santa maria do salto,1,50.480000000000004,50.480000000000004
santa maria do suacui,2,517.75,258.875
santa maria madalena,7,1247.45,178.20714285714286
santa mariana,4,373.35,93.3375
santa mercedes,2,269.57,134.785
santa monica,2,384.83000000000004,192.41500000000002
santa quiteria,5,1139.12,227.82399999999998
santa quiteria do maranhao,1,100.75,100.75
santa rita,6,2314.53,385.75500000000005
santa rita d'oeste,3,219.73000000000002,73.24333333333334
santa rita da floresta,1,96.8,96.8
santa rita de caldas,6,882.22,147.03666666666666
santa rita de jacutinga,1,45.089999999999996,45.089999999999996
santa rita de minas,3,428.77,142.92333333333332
santa rita do araguaia,7,972.03,138.86142857142858
santa rita do ibitipoca,2,216.81,108.405
santa rita do itueto,1,77.57,77.57
santa rita do passa quatro,16,3025.42,189.08875
santa rita do sapucai,34,4900.23,144.12441176470588
santa rosa,29,4304.67,148.43689655172415
santa rosa de lima,2,410.6,205.3
santa rosa de viterbo,11,2757.05,250.6409090909091
santa rosa do sul,1,218.27,218.27
santa salete,1,95.0,95.0
santa teresa,9,1616.77,179.64111111111112
santa teresinha,2,338.1,169.05
santa tereza do oeste,3,420.59000000000003,140.1966666666667
santa terezinha,2,361.53,180.765
santa terezinha de itaipu,3,378.11,126.03666666666668
santa vitoria,16,4691.93,293.245625
santa vitoria do palmar,12,2049.67,170.80583333333334
santaluz,3,333.97,111.32333333333334
santana,13,1941.31,149.33153846153846
santana da boa vista,2,115.8,57.9
santana da vargem,4,353.6,88.4
santana de parnaiba,172,26997.57,156.96261627906978
santana de pirapama,1,70.74,70.74
santana do acarau,4,1563.58,390.895
santana do araguaia,2,481.59,240.795
santana do capivari,1,39.519999999999996,39.519999999999996
santana do cariri,3,946.6800000000001,315.56
santana do deserto,1,206.99,206.99
santana do ipanema,1,285.45,285.45
santana do itarare,1,71.53,71.53
santana do jacare,4,1769.22,442.305
santana do livramento,20,4911.3,245.565
santana do manhuacu,3,281.44,93.81333333333333
santana do mundau,3,1268.01,422.67
santana do paraiso,16,3077.73,192.358125
santana do serido,2,943.37,471.685
santana do sobrado,1,54.82,54.82
santana dos montes,2,296.46000000000004,148.23000000000002
santanesia,4,439.58,109.895
santarem,42,7313.15,174.12261904761903
santiago,26,2974.7,114.41153846153846
santo amaro,9,2303.04,255.89333333333332
santo amaro da imperatriz,11,3245.7,295.06363636363636
santo amaro das brotas,1,62.28,62.28
santo amaro de campos,6,1777.56,296.26
santo anastacio,14,2853.01,203.7864285714286
santo andre,751,111339.5,148.25499334221038
santo angelo,42,7619.2699999999995,181.41119047619046
santo antonio,1,507.98,507.98
santo antonio da alegria,3,250.03,83.34333333333333
santo antonio da patrulha,17,5603.12,329.59529411764703
santo antonio da platina,11,2152.39,195.67181818181817
santo antonio das missoes,4,495.32000000000005,123.83000000000001
santo antonio das queimadas,1,112.11999999999999,112.11999999999999
santo antonio de jesus,27,5552.88,205.66222222222223
santo antonio de padua,29,6261.9800000000005,215.93034482758623
santo antonio de posse,19,5478.29,288.3310526315789
santo antonio do amparo,4,477.03,119.2575
santo antonio do aracangua,1,1117.99,1117.99
santo antonio do aventureiro,1,88.91999999999999,88.91999999999999
santo antonio do caiua,1,302.55,302.55
santo antonio do canaa,1,194.88,194.88
santo antonio do descoberto,5,992.8800000000001,198.57600000000002
santo antonio do grama,2,275.36,137.68
santo antonio do itambe,3,289.46999999999997,96.49
santo antonio do jacinto,7,573.48,81.92571428571429
santo antonio do jardim,4,294.35,73.5875
santo antonio do leste,1,237.55,237.55
santo antonio do leverger,1,124.41,124.41
santo antonio do monte,14,2247.31,160.52214285714285
santo antonio do palma,2,104.09,52.045
santo antonio do pinhal,2,1252.69,626.345
santo antonio do planalto,1,221.07,221.07
santo antonio do rio abaixo,1,24.23,24.23
santo antonio do sudoeste,3,268.07,89.35666666666667
santo antonio do taua,1,57.739999999999995,57.739999999999995
santo antonio dos campos,1,177.99,177.99
santo augusto,7,1599.61,228.51571428571427
santo cristo,7,766.18,109.4542857142857
santo eduardo,2,260.06,130.03
santo estevao,5,1226.69,245.33800000000002
santo expedito,1,293.46,293.46
santo expedito do sul,1,237.54000000000002,237.54000000000002
santo hipolito,1,119.88000000000001,119.88000000000001
santo inacio,1,79.7,79.7
santos,680,120284.13,176.88842647058823
santos dumont,21,2662.69,126.79476190476191
sao benedito,5,1126.52,225.304
sao benedito do rio preto,1,133.22,133.22
sao benedito do sul,1,64.83,64.83
sao bentinho,1,69.15,69.15
sao bento,5,1381.24,276.248
sao bento abade,1,31.1,31.1
sao bento do sapucai,7,788.06,112.58
sao bento do sul,43,6265.0,145.69767441860466
sao bento do una,4,1477.8,369.45
sao bernardino,1,208.48000000000002,208.48000000000002
sao bernardo,3,923.3899999999999,307.7966666666666
sao bernardo do campo,881,124150.48,140.91995459704881
sao bonifacio,1,116.46000000000001,116.46000000000001
sao borja,15,3309.28,220.61866666666668
sao bras,1,54.739999999999995,54.739999999999995
sao bras do suacui,2,129.71,64.855
sao caetano do sul,262,40447.85,154.381106870229
sao carlos,225,38072.75,169.2122222222222
sao carlos do ivai,1,119.95,119.95
sao clemente,1,154.86,154.86
sao cristovao,7,1039.58,148.51142857142855
sao cristovao do sul,1,137.07,137.07
sao desiderio,1,161.19,161.19
sao domingos,7,668.69,95.52714285714286
sao domingos das dores,1,72.45,72.45
sao domingos do araguaia,1,270.65,270.65
sao domingos do maranhao,2,219.51,109.755
sao domingos do norte,7,1028.5,146.92857142857142
sao domingos do prata,4,424.99,106.2475
sao felipe,2,827.01,413.505
sao felix,1,44.69,44.69
sao felix de minas,1,409.5,409.5
sao felix do araguaia,1,134.64,134.64
sao felix do coribe,1,266.06,266.06
sao felix do xingu,8,1774.08,221.76
sao fidelis,23,2597.42,112.93130434782609
sao francisco,18,2812.23,156.235
sao francisco de assis,2,145.39,72.695
sao francisco de itabapoana,14,1909.45,136.3892857142857
sao francisco de paula,7,738.1,105.44285714285715
